variableMetadata	msiLevel	hmdb	chemicalClass
Methyl (hydroxymethyl)pyrrolidine-carboxylate/Methyl (hydroxy)piperidine-carboxylate	2		AA-pep
Methylinosine	2		Nucleo
Mevalonic acid isomer 1	2		Organi
Monoethyl phthalate	2	HMDB02120	AroHoM:Xenobi
N-Acetyl-aspartic acid	1	HMDB00812	AA-pep
N-Acetylisoleucine	1		AA-pep
N-Acetylleucine	1	HMDB11756	AA-pep
N-Acetyltryptophan	1	HMDB13713	AA-pep
N-Acetyltryptophan isomer 3	2		AA-pep
N2-Acetylaminoadipic acid	2		AA-pep
N4-Acetylcytidine	1	HMDB05923	Nucleo
Nicotinuric acid isomer	2		AA-pep
Ortho-Hydroxyphenylacetic acid	1	HMDB00669	AroHoM
Oxoglutaric acid	2	HMDB00208	Organi
p-Anisic acid	1	HMDB01101	AroHoM
p-Hydroxyhippuric acid	2	HMDB13678	AA-pep:AcyGly
p-Hydroxymandelic acid	1	HMDB00822	AroHoM
p-Hydroxyphenylacetic acid	1	HMDB00020	AroHoM
Pantothenic acid	1	HMDB00210	AliAcy
Pentose	2		Carboh
Phe-Tyr-Asp (and isomers)	2		AA-pep
Porphobilinogen	1	HMDB00245	Organi
Pyridoxic acid isomer 1	2		AroHeM
Pyridylacetylglycine	2	HMDB59723	AA-pep:AcyGly:Xenobi
Pyrocatechol sulfate	2	HMDB59724	AroHoM
Pyroglutamic acid	1	HMDB00267	AliHeM
Pyrroledicarboxylic acid	2		AroHeM
Pyruvic acid	1	HMDB00243	Organi
Quinic acid	1	HMDB03072	AliHoM
Salicylic acid	1	HMDB01895	AroHoM:Xenobi
Sebacic acid	1	HMDB00792	Organi
Suberic acid	1	HMDB00893	Organi
Sulfosalicylic acid isomer	2		AroHoM
Taurine	1	HMDB00251	Organi
Testosterone glucuronide	2	HMDB03193	Lipids:Steroi
Tetrahydrohippuric acid	2		AA-pep:AcyGly
Threo-3-Phenylserine	1	HMDB02184	AA-pep
Threonic acid/Erythronic acid	2		Carboh
Tryptophan	1	HMDB00929	AA-pep
Valerylglycine isomer 1	2		AA-pep:AcyGly
Valerylglycine isomer 2	2		AA-pep:AcyGly
Xanthosine	1	HMDB00299	Nucleo
