dataMatrix	HU_011	HU_014	HU_015	HU_017	HU_018	HU_019	HU_020	HU_021	HU_022	HU_023	HU_024	HU_025	HU_026	HU_027	HU_028	HU_029	HU_030	HU_031	HU_032	HU_033	HU_034	HU_035	HU_036	HU_037	HU_038	HU_039	HU_040	HU_041	HU_042	HU_043	HU_044	HU_045	HU_046	HU_047	HU_048	HU_049	HU_050	HU_051	HU_052	HU_053	HU_054	HU_055	HU_056	HU_057	HU_058	HU_060	HU_061	HU_062	HU_063	HU_064	HU_065	HU_066	HU_067	HU_068	HU_069	HU_070	HU_072	HU_073	HU_074	HU_075	HU_076	HU_077	HU_078	HU_079	HU_080	HU_081	HU_082	HU_083	HU_084	HU_085	HU_086	HU_087	HU_088	HU_089	HU_090	HU_091	HU_092	HU_093	HU_094	HU_095	HU_097	HU_098	HU_099	HU_100	HU_101	HU_102	HU_103	HU_105	HU_106	HU_107	HU_108	HU_109	HU_110	HU_112	HU_113	HU_114	HU_115	HU_116	HU_117	HU_118	HU_119	HU_120	HU_121	HU_122	HU_123	HU_124	HU_125	HU_126	HU_127	HU_129	HU_130	HU_131	HU_132	HU_133	HU_134	HU_135	HU_136	HU_137	HU_138	HU_139	HU_140	HU_142	HU_143	HU_144	HU_145	HU_146	HU_147	HU_148	HU_149	HU_150	HU_152	HU_154	HU_155	HU_156	HU_157	HU_158	HU_159	HU_160	HU_162	HU_163	HU_164	HU_166	HU_167	HU_168	HU_169	HU_170	HU_171	HU_172	HU_173	HU_174	HU_175	HU_177	HU_179	HU_180	HU_181	HU_182	HU_183	HU_184	HU_185	HU_186	HU_187	HU_188	HU_189	HU_190	HU_191	HU_192	HU_193	HU_194	HU_195	HU_196	HU_197	HU_198	HU_199	HU_200	HU_201	HU_202	HU_203	HU_204	HU_205	HU_206	HU_207	HU_208	HU_209
4-Acetamidobutanoic acid isomer 2	4.046984191	4.218430715	3.995719199	4.006450055	4.564357484	4.193067575	4.084182572	4.182949167	4.317084732	4.095378812	4.23009087	4.187882902	3.921403537	4.053804758	4.28655102	4.184982328	4.381222132	4.513639307	4.120956724	4.436384942	4.089348744	4.530976983	4.247661363	4.050937541	3.990693948	4.213626932	4.325045895	4.021074071	4.37338749	4.457348259	3.660512479	4.231404112	4.257446942	3.892403931	4.395069333	4.231695253	4.285512962	3.868051455	4.320013842	3.617975305	4.237931025	4.01779192	4.267510074	4.405452469	4.035392914	4.442477311	4.28471817	4.485183307	4.461169616	4.138522051	4.310405953	4.489559655	4.174591494	4.479224904	4.194314745	4.382179221	4.278955617	4.130442352	4.36933243	4.284318066	4.312723721	4.410047215	4.410251484	4.356425933	4.40005141	4.587860397	4.539085169	4.458173474	4.119064298	4.447864488	4.824213764	4.279746508	4.548438294	4.516965	4.371431058	4.196533581	4.213155537	4.184238244	4.438623217	4.422029871	4.230809179	4.279322149	4.322546573	4.524856567	4.272673778	4.390835975	4.235396425	4.190286383	4.494926116	4.294850109	4.075211675	4.066563229	4.1042014	4.426711184	4.417301054	4.391005538	4.487588308	4.554249981	4.670753138	4.376841626	4.541686374	4.45418927	4.208695927	4.804347023	4.359958553	4.409789546	4.45732835	4.386920214	4.361857422	4.453072644	4.092556977	4.246376892	4.584191677	4.332113847	4.383618537	4.347307185	3.860424588	4.386759974	4.489257507	4.508129904	4.664500778	4.412255722	4.329691011	4.339267111	4.487241812	4.145107063	4.396650385	4.204874882	4.507990816	4.249760026	4.4285681	4.267440501	4.143883681	4.513200429	4.510367478	4.123903317	4.48239156	4.435355273	4.400960313	4.406412486	4.323763901	4.189530409	4.007890679	4.345290597	4.034261611	4.343940542	4.433892835	4.274703332	4.374078083	4.303829572	4.33960832	4.439257188	4.253818293	4.044539459	4.225287465	4.252018922	3.999896842	4.223827489	4.098096911	4.321441404	4.473316493	4.271209646	4.48296281	4.464778809	4.213264144	4.331730705	4.42795216	4.446038221	4.532517908	4.452793759	4.374463204	4.216498296	4.285912086	4.257342785	4.376601689	4.404927726	4.537615253	4.418529505	4.277338191	4.467103706	4.408705883	4.328763816	4.444397594
4-Acetamidobutanoic acid isomer 3	3.964379663	4.08786518	4.031485074	3.884680994	4.347508931	4.040540801	4.194199054	4.036494654	3.875014907	4.049588051	4.205857655	4.379372477	4.022572081	3.660633758	4.398634404	3.672229185	4.118429048	4.00960616	4.828723817	4.613221582	4.113298436	4.682212011	4.104475574	3.95786585	3.978244384	4.070645263	4.204408536	4.074902255	4.218329798	4.006376436	4.074720967	3.898995392	4.165778675	4.105888586	4.610515958	4.320548236	4.029408916	4.18048468	4.361099422	3.692960374	4.348624122	3.820316238	3.842834991	4.268791337	3.680824251	4.468762761	4.351358248	4.282937612	4.681423772	4.324351632	4.267923861	4.240251948	4.492540829	4.480032781	4.28118044	3.868701277	4.675254268	4.476082173	4.484449792	4.393662295	3.845461247	4.557769531	3.990732862	4.444154653	4.687089512	4.843114842	4.249428158	4.45100122	4.287329238	4.25217372	4.583709535	4.404656988	4.501975365	4.239030055	4.486439256	4.254114978	4.527111208	4.153799155	4.200645849	4.38711602	3.752254425	4.261181307	4.318593092	4.511161602	4.032102112	4.353635788	4.015983775	4.361189297	4.468550171	4.111963659	4.277631389	3.801880022	3.908590818	4.532790429	4.511344472	4.544905464	4.071497157	4.388034101	4.657869494	4.173391102	4.319690186	4.467360906	4.558514107	4.054228927	4.621686878	4.380129623	4.259620678	4.285677784	4.113809817	3.900315285	3.658178346	4.120141564	4.374837273	4.784216762	4.145699468	4.176793582	4.002308717	4.349385665	4.37625181	4.359626778	4.158856882	4.519319794	4.513757457	4.226634256	3.761009992	4.224383105	4.453110801	4.15010821	4.713836081	4.094670468	4.805845437	4.276686291	4.551350206	4.522418535	4.670638677	4.420084616	4.266928207	3.780457576	3.870209294	4.295223785	4.154199244	4.800310529	4.312027241	4.120742116	4.708195226	4.909539936	4.354453711	4.179082686	4.789036666	4.296075753	4.379392451	4.626334975	4.350567813	4.410954321	4.456481255	4.534082279	4.53432229	4.822724792	4.547049003	4.316371953	4.437482217	3.925663356	4.628199957	4.173228012	3.983036958	4.700482915	4.16840917	3.955276575	4.467925079	4.785239418	4.624936768	4.459212459	4.590207747	4.487473303	4.411005353	4.019506846	4.560177633	3.903360676	4.036534772	4.058492936	5.006801452	4.496587215	4.507963647
4-Hydroxybenzoic acid	4.581811302	4.675483139	4.248247699	4.171788269	4.660292988	4.335561109	4.158905332	4.217291286	4.192658629	5.313806874	4.154890504	4.591828324	4.763827966	4.203545535	4.422072436	3.872188525	3.967061946	3.811538343	4.288530074	4.300369646	4.033590413	4.486295668	4.003095815	4.354294657	4.804813659	3.893758243	3.673271702	4.231847255	4.053907764	4.303289931	3.780478597	4.576504957	4.511372828	3.903898519	4.48193787	4.027467985	4.072823195	3.31693697	4.75635731	3.897989486	4.31916228	3.590699113	3.808284297	5.010227519	4.158168773	4.233653523	4.230850775	4.32400758	4.41300055	3.973748033	3.873713121	4.1682523	4.257059582	4.495689071	4.634977036	4.101350801	3.721010886	4.553204776	4.882051642	4.20990738	4.203094018	4.321125813	4.462849161	4.271314871	4.458024309	4.145075629	4.318390585	4.192059346	2.182092227	4.943666352	4.57564715	4.224812189	4.880148859	4.563012829	4.031356173	4.049699941	4.267361502	4.939007689	4.434860938	4.578717827	4.40581042	4.026954503	4.455884915	4.035032762	4.195069378	3.746834682	4.398738106	4.1281152	2.106646581	3.360880903	4.634556763	4.320897307	4.429097807	4.243190227	4.524590407	3.908150254	3.868693933	4.341637123	4.682836143	4.375774715	3.978857437	4.814156857	4.849036385	4.48262698	4.300082106	4.682447364	4.262916538	3.982102523	4.729284114	4.170692171	4.202133681	4.274903577	4.538123152	4.367899258	4.157755534	4.235565467	4.053206959	4.301387503	4.31846397	3.924718321	4.599187408	4.08698162	4.13479664	4.098872063	4.578524795	4.453561075	3.351977018	5.148366394	4.26044112	4.09071734	4.183231583	5.085742738	2.367196954	4.315319978	4.707464177	4.179758405	4.570113657	4.503382303	4.189043063	4.710212795	4.540126781	4.318825414	4.656523959	4.706096206	4.78772653	4.709952208	4.549214255	4.116257062	4.342067459	4.062949624	4.123153406	4.22447608	4.568082358	4.269139479	4.355879155	4.484963035	4.535239529	4.457961356	4.299508895	4.406927538	5.031283459	4.491437861	4.391319723	4.307444939	3.993331365	4.301779623	4.365054758	3.995207866	4.495517781	5.248657755	4.791849547	3.990776258	4.32190868	4.21223186	4.571436725	4.516589827	4.33407653	4.183686787	4.287649313	4.322858841	4.686435794	4.625270971	4.889035099
4-Methylhippuric acid/3-Methylhippuric acid	3.242186003	3.838006782	4.72389994	3.617350025	4.285847985	3.430341658	3.299994191	3.854158016	4.265667707	4.048860639	3.63506772	3.392771507	3.775575079	3.311462062	3.53486388	3.563054316	5.035692923	4.830488559	4.056129508	3.719104605	4.875061052	4.043001872	4.727923517	4.678198974	3.261332451	3.787440062	4.380707911	4.239506318	3.489953099	3.681724472	3.423700192	4.359213306	3.705276227	3.863801319	3.579115902	4.232934267	3.989144706	2.828714793	4.053322263	3.820650008	4.51670496	4.218154089	3.55698928	3.796179827	4.333344346	4.536109552	3.746730544	3.66862487	4.372877689	3.252182892	3.565487018	3.907467492	4.699838252	3.670167781	3.915211333	4.427240203	3.351711117	4.811761225	3.660818779	3.772154463	4.043751084	3.681462395	4.046173841	4.766900484	3.334301292	3.670113885	4.772820797	4.29531449	4.009630073	3.684002784	5.06283207	3.606905789	4.637433468	3.94127773	4.354952338	4.692823421	4.774194503	4.051864436	3.822909786	4.001355377	4.980129187	4.813669149	4.278915464	4.687543956	3.920432975	3.801401222	4.901679599	4.057478919	3.714000783	5.093593795	4.030363802	3.328740345	3.430189544	3.542149991	3.655292633	3.503782986	3.37931069	3.762022106	3.560671747	3.87060195	4.724289142	4.41258113	3.372111815	3.962788403	3.219974957	4.785031095	3.887703819	4.702313985	3.730125479	3.786802173	3.478025574	5.20801647	3.693294271	4.49022399	3.88518362	4.532512622	3.197668064	3.281755451	3.37419129	3.528354223	4.595557339	4.749444095	3.504930408	5.173401623	3.931227024	3.479985272	4.226737937	4.702685986	4.001274884	4.971668661	3.687486187	4.329314088	5.294186853	3.537910121	4.044053834	3.676656854	3.822865323	3.767560185	5.042959984	4.092715266	4.347503407	3.937558576	3.602162922	4.127888029	4.389736764	3.967645353	4.864923095	4.482998797	3.849137235	3.722760424	4.097405622	3.801103146	4.359246736	3.729735225	3.872254813	3.995832662	3.97308427	4.936669457	4.676381219	4.02374129	4.066187388	3.354891009	5.057644087	4.825774615	3.576691133	3.493179353	3.879089606	4.154666427	4.007812106	3.886082086	4.24066354	5.085789311	3.910099143	4.355648821	3.723214092	4.216404892	4.233587011	4.666871163	3.915717946	4.546429675	3.939016015	3.957332107	4.057366757
5-Hydroxyindoleacetic acid	4.307544634	4.402027321	3.975412924	4.168655287	4.502182007	4.281092309	4.379544372	4.495214357	4.105822327	4.189521506	4.31557039	4.481418433	4.29019838	4.253033853	4.318097284	4.075345642	4.439765435	3.9553326	4.348066534	4.18649514	4.17229603	4.346000095	4.193838513	4.475751276	3.665663721	3.34642612	4.419010323	4.310290823	4.337410028	4.372171442	4.145700632	4.234054384	4.313765855	3.880743176	4.694964778	4.383580541	3.953211042	4.34353278	4.370746189	3.817267901	4.322195188	4.171778471	4.280891334	4.103565952	4.180887538	4.612846275	4.279364752	4.285976596	4.228049104	4.635537624	4.128319085	4.579574541	4.205248266	4.570477036	4.313653162	4.282795318	4.252929171	4.321199671	4.539354291	4.236156241	4.405789122	4.333826937	4.872287385	4.563345107	4.427033816	4.670446937	4.107663889	4.380449967	3.421302962	4.338266907	4.178364444	4.347756262	4.754924868	4.551334565	4.342559111	4.143325306	4.072110682	4.012999747	4.355461246	4.447298749	4.04310781	4.212165246	4.442333223	4.488975205	4.338019535	3.757343159	4.410244599	4.203933448	4.50732075	4.31781315	4.403086439	4.586659988	4.383272801	4.168981132	4.366937758	4.474457886	4.287813391	4.425816462	4.703630863	4.428331444	4.108074622	4.515691055	4.476480737	4.345278372	4.656173554	4.291460054	4.4235228	4.274722826	4.30220265	4.34548291	3.970502302	4.19932732	4.432427599	4.508004932	4.02625758	4.266433499	4.316887529	4.312370468	4.380934833	4.238147716	4.679716095	4.312222877	4.624038556	4.277154066	4.37698827	4.297369614	4.276934725	4.193154456	4.57553573	4.168289479	4.524772443	4.295869966	4.014157956	4.825631273	4.657789499	4.551332209	4.660771087	4.446377711	4.321221113	3.993454241	4.312737481	4.393597975	4.036182677	4.370401589	4.135225982	4.253756307	4.598133229	4.173151922	4.39537193	4.251152315	4.366926513	4.308539003	4.554444715	3.801453781	4.357609156	4.381371536	3.96102242	4.40583965	4.38758213	4.276497679	4.568761477	4.312493736	4.50700873	4.526636005	4.361470858	4.161842003	4.591711991	4.489883397	4.584508866	4.450376373	4.432690342	4.123160872	4.339095715	4.267212597	4.400382015	4.412515499	4.487556145	4.4803662	4.378169152	4.445571108	4.570560553	4.61379511	4.591220355
5-Sulfosalicylic acid	4.023477297	4.08369203	4.232118506	3.088972402	4.142685807	3.950240917	4.982740828	4.090823705	4.98442524	1.103431997	3.720013168	3.846030693	4.032781504	4.52225371	0.941272725	4.496737035	3.720167164	4.169784214	4.897063157	3.68544467	3.86569931	4.689196506	3.897866393	3.794142014	3.850975689	4.235019788	3.524955218	3.880796285	4.846867984	4.89024387	4.28374836	3.501871884	3.963303225	4.905552661	4.24009914	4.251011554	3.922774364	3.405700073	5.209842071	4.43633749	3.891536527	3.827539915	5.140030622	0.774200433	3.512088114	4.941120561	4.940324628	3.604204321	3.573805923	4.010445643	4.689951697	4.391021146	4.019074005	4.597202794	4.094333085	4.737866293	4.370598755	3.354824729	3.588525617	3.831506702	3.521464814	4.038811788	4.145936306	4.365699413	3.700456366	3.422694759	4.037574947	4.243870997	4.38715451	3.836152376	4.8997012	4.004403763	4.419193927	3.928886687	3.67835637	4.511122077	4.042936657	5.191723108	4.62104547	4.292880635	3.867302224	4.051821403	3.394784997	4.40500743	2.98133431	3.68732597	4.554786612	3.981659372	5.142331726	3.931876155	4.089959451	4.085580871	3.538954692	4.736284869	3.889767971	4.003997218	4.013018628	4.212452491	3.890244016	3.922271194	3.545408501	4.324113874	3.80766108	4.677581686	4.956881596	4.304078015	4.241468389	4.864832453	5.083492368	3.610490503	3.388850717	4.725799032	4.091160854	4.209933913	3.754617428	4.321028469	4.480490283	4.835453911	4.627902407	3.246764553	4.259725729	4.419642813	4.060317403	3.800426067	4.487283507	4.328859507	4.460617506	4.536194294	5.030689198	3.367266615	4.179603589	3.758908744	4.417991495	3.876526344	4.185899799	4.462909388	4.488817029	3.886355106	4.869095728	4.234080613	3.822195995	3.994601935	3.958331527	3.926166428	3.841814845	4.58901159	4.49217343	3.718159085	4.472980371	5.051655272	4.188562783	3.673801836	3.565458264	3.647337699	4.217907353	4.333736618	4.178016896	3.504514789	3.862538728	4.005426479	4.136152241	4.437883258	4.609953259	4.105197892	3.997173138	3.751231213	3.463023809	4.453680232	3.488705549	4.944747505	3.879431769	4.606639058	3.017810216	5.190955537	4.099027132	3.934038262	4.369180348	4.12578442	3.860510899	4.340479399	3.973770408	5.020660448	3.912430403
6-(2-hydroxyethoxy)-6-oxohexanoic acid	3.758640363	4.329163462	3.994169621	4.436173835	4.442813511	4.260598545	4.105474347	4.371577549	4.34723385	4.240364736	4.294306175	4.521698811	3.994291645	3.953249718	4.317810304	4.229005465	4.638284917	4.337485288	4.123860602	4.387932157	4.389687678	4.246906662	4.424686629	4.014175857	4.141068659	4.556182177	4.351751905	4.291420579	4.30922856	3.921615951	3.850241886	4.35654408	4.292989434	4.031275315	4.068871221	4.054256573	4.36600611	4.258148716	4.761042367	3.623128794	4.766343478	4.049180068	4.498837205	4.254478425	4.723375155	4.351326315	4.615558197	4.583784384	4.294941559	4.525444695	4.255650696	4.136384904	4.22244506	4.258590673	4.260191213	4.455951644	4.186709571	4.231312328	3.918355158	4.150970505	4.247645457	4.299751875	4.343457601	4.325089779	3.939025564	4.518274907	4.549612891	4.051505628	4.179609399	4.329752931	4.779073921	4.492991282	4.369588949	4.607091723	4.377963635	4.236167341	4.097176018	4.314060701	4.407455313	4.697074667	3.996451508	3.939920484	4.384662221	4.392466202	4.409878719	4.722707393	4.373999487	4.326871012	4.186804256	4.624609135	4.800451226	4.472530664	4.2944721	4.614188138	4.699278491	4.55011651	4.514921986	4.436818869	4.763705394	4.539802288	4.637169659	4.083182348	4.481742231	4.522986263	4.139976614	4.100527761	4.411169875	4.140789304	4.464276318	4.158884202	4.19189977	4.156973555	4.754836691	4.621572406	4.325521672	4.601658525	4.364898719	3.911428139	4.587262069	4.675578765	4.475639013	4.275212418	4.048477677	4.544535902	4.404551266	4.404920481	3.756576265	4.382726975	4.521155762	4.486374583	4.476083501	4.259254828	4.310831197	4.430065513	4.134482626	4.481856755	3.723256731	4.445023186	4.320326768	4.264493689	4.420479365	4.367855572	4.431002452	4.358107581	4.487425925	4.209070284	4.639821556	4.283242618	4.658842388	4.826319108	4.249526744	4.447765377	4.20764694	4.150538989	4.719283926	4.385379956	4.110361351	4.124836607	4.329088746	4.785468341	4.663509886	4.209580776	4.403295072	4.674789619	4.593690984	4.173899599	4.046980187	4.099890332	4.494110305	4.77679145	4.068946352	4.062626538	4.404528364	4.285796775	4.610649799	4.409920889	3.786669057	4.558817587	4.239232049	4.475794546	4.716785219	4.814111314	4.19177738
6-(carboxymethoxy)-hexanoic acid	3.445392336	3.999589092	4.039266761	4.084427944	4.527799913	4.114818359	4.248547516	4.887580409	4.007891769	4.166171119	4.034456502	4.089753821	3.896744529	3.781179952	4.288645856	4.213977609	4.718835295	4.723046183	3.905128517	3.63048141	3.87790443	4.58488378	4.060433704	4.03270047	3.412438354	4.127785186	4.558196206	4.232369479	4.272760117	4.360180653	3.794824665	4.081681277	4.425941956	3.789166377	4.348765001	3.899991778	4.514261936	3.672457723	3.920255032	3.779910594	4.654674795	3.429786152	4.274419912	3.94675982	4.233158317	4.590078486	4.051332336	4.049922458	4.245892878	4.188538337	4.089860862	4.532727489	4.182742905	4.612089954	4.719644793	3.937355311	4.436914661	3.963082154	4.432328698	4.253314457	3.894674289	3.799670018	4.586854401	3.908584021	4.297473942	4.94930441	4.187367114	4.57556476	3.68454306	4.598548104	4.034049002	4.285959461	4.210458482	4.039894687	4.165139384	3.871663269	3.985385767	3.831940081	4.345755761	4.859102352	3.577311102	4.284312981	4.499666875	4.284959745	4.129943363	3.344345607	4.457654065	3.597011114	4.189023904	4.201866272	3.994016748	3.711982666	4.227710355	4.069345711	4.575060026	4.581796486	4.546972206	4.037379717	4.542652667	4.176675076	4.294989567	4.095508213	4.325163135	4.464868707	4.323026378	4.59968237	4.517297728	4.223830234	4.598814339	4.754019332	3.886017726	4.17781177	4.391530266	4.26353625	4.273030122	4.207938652	1.783118956	4.351042852	4.721741494	5.029139807	5.10547738	4.797664182	4.149808347	4.5008274	4.745835935	4.375919055	4.085945146	4.040711137	4.396462014	3.496395658	4.543049047	3.961895727	3.798053812	3.689105047	4.422822047	3.813746958	4.510111746	4.70420018	4.448021831	4.192104696	4.233504372	4.541922343	3.472741868	3.953825183	3.764809316	4.105389656	4.339086284	3.979392463	3.863832929	4.138944082	4.622558967	4.127114085	4.233898347	3.67447241	4.316191522	3.954311551	3.843721232	3.878935077	3.77409925	3.977315831	4.344450075	4.201053686	4.379847022	4.827406201	4.260055025	4.354511416	4.367627047	4.33974575	4.45384444	3.39046876	4.61884429	4.285649787	4.217932448	4.436438727	4.724276052	4.423098046	4.357052522	4.842572671	4.769506004	4.470752353	3.6881505	4.425203328	4.462327139
9-Methylxanthine	4.403908726	4.211292788	4.07395983	4.257367332	3.662753683	4.262500742	4.296477349	4.510545789	4.5758199	4.360610852	4.071235071	4.200445863	4.552809846	3.875139602	3.908933066	4.104319513	4.423389768	4.339450408	4.656810762	4.445543168	4.192749389	4.208634491	4.275384286	3.868084325	3.673920687	4.690373426	4.073794943	4.331488826	4.35242741	4.600267522	4.302550678	4.739515069	4.184319682	3.457127478	4.367066954	4.275025171	4.268369378	3.042916317	4.743015064	3.669824671	3.856213704	3.889561055	4.329529656	3.994055883	4.150635608	4.343718136	3.883249385	4.461891199	3.822964412	4.687221184	3.957157951	4.367288402	3.649644614	4.379583023	4.350929483	3.940296291	4.112752691	3.879018106	4.107455927	4.331894311	4.812778462	4.261727256	4.046876508	4.377882769	4.502211994	4.318334251	4.383462135	4.213273503	4.042533306	4.644602667	4.646834481	4.23047532	4.488430199	4.901050242	4.512800451	4.212689425	3.754357268	4.363627642	4.686895753	4.592597557	3.932924125	4.094481719	4.455462526	4.467638906	3.664215962	4.049628855	4.505386709	3.883723365	4.431569558	4.528363629	4.364780785	3.774988614	3.836638822	4.606488082	3.917770048	4.584822234	4.270084509	4.235098719	4.329685438	4.461281944	3.876047128	3.687020512	4.908537126	4.727122227	3.684380593	4.258558814	4.190680132	4.324643893	3.987014789	4.827643629	3.821046056	4.135888267	4.033097228	4.763879327	4.137066513	4.202756356	4.571857525	3.857519432	4.56046148	4.38369508	4.229385189	3.855098454	4.681833076	4.553709217	4.517681701	4.019791834	4.217805625	4.355678872	4.5126431	4.281552387	4.523218048	4.327960246	4.347512511	4.384559358	4.146342172	3.946867869	4.890141288	3.135233823	4.454746828	4.028150667	4.613161969	4.389435352	4.452431479	5.030917871	4.475517178	3.892193391	4.543922726	4.05787729	4.443556636	4.469993919	4.261341275	4.140283924	4.365864147	4.041850569	4.50027066	4.027946544	4.671569569	3.613562838	3.542564227	4.989793881	4.703361697	3.827987606	4.194083557	4.226544063	4.128336903	4.183358106	3.938478169	4.253289629	4.405245065	4.628385274	3.966250881	4.024452011	4.427259017	4.53082725	4.648358556	3.873182802	3.957410051	4.276434243	3.914776113	4.318563398	4.424454278	4.448587206	4.249211165
Acetaminophen glucuronide	1.646201355	0.094671234	-0.159476724	0.321438533	1.761274626	4.625680884	2.07294372	0.010570405	1.966871801	0.227297994	0.146645162	1.82694255	5.227465524	0.883997744	0.511570153	1.337005857	-0.098843873	-0.203213513	0.223666363	3.286191271	0.079563412	4.361203167	2.921812091	2.117884467	0.522866544	1.186746407	3.93577778	0.242085556	2.969757338	1.672576149	0.278310231	0.465050069	-0.127708211	-0.068442182	1.96608253	1.30854517	-0.140350981	2.588716623	3.699325518	0.031982294	1.291606218	5.303363585	-0.189800966	-0.089418407	3.537405068	1.808534229	0.145845671	-0.288460907	2.603348313	1.933614296	-0.197794109	2.422551178	1.943904967	-0.091897896	2.092208944	-0.134412238	-0.121829678	-0.098153464	-0.198918545	-0.133597752	3.681324171	-0.146029239	1.728598267	2.529619367	1.263670495	1.914356423	-0.017240844	-0.107266911	4.501954334	3.438139177	-0.053925661	1.87473306	1.554653774	2.263663675	3.89291818	1.731262839	-0.077803225	0.437010979	0.117369133	-0.066815382	0.713959199	-0.111569331	4.028763234	1.804710349	0.35844127	2.018666352	-0.115037397	0.090869322	2.151984192	-0.011099613	0.837658424	0.585006637	5.281141908	1.765940538	1.872340093	1.665963917	-0.153302381	5.161564829	0.051640394	0.426480838	5.362819215	3.76347941	4.529298334	-0.278179438	2.61341246	0.008712055	1.976548129	0.04081137	-0.006135673	0.093914725	-0.106595876	0.01260086	2.215954045	0.063351562	2.404372832	1.727640388	0.517918138	1.471955778	-0.055263829	3.293720892	0.241015389	-0.268941855	3.109589692	-0.002185696	1.71356638	2.707351509	0.037865684	2.011642615	1.365950461	0.487846177	1.910471727	1.966522249	0.384941525	1.909330926	3.342439754	1.864492674	4.757104427	5.567388141	1.706783722	0.035967263	2.090187898	2.006130935	0.196911043	2.676292557	0.408099682	0.084382677	4.578557723	0.140208827	0.747825044	0.212237271	0.041303083	2.0739382	0.042003507	0.14167419	0.72669553	2.099676492	0.036201962	1.713907743	0.622541279	0.747144792	0.640791174	0.286196063	2.342299261	-0.300010358	-0.044212743	2.61926009	5.04543163	-0.067056664	2.023469712	1.815949273	2.345278783	-0.046102239	1.567465403	0.158363644	2.771166801	0.131571634	2.415411968	1.743270513	1.232476466	2.16134783	2.030420136	0.817908338	0.250596019
Acetylphenylalanine	4.169513923	4.515992777	4.083459947	3.767910143	4.187942437	4.292496362	4.31609019	4.149062609	4.597155951	3.727467137	4.232674677	3.59143665	2.538760574	4.050912938	4.059098909	4.004698254	4.22859221	4.023039679	4.325942732	4.398296278	4.243851098	4.108654004	4.265683556	3.629703176	4.216840213	4.423295715	4.180227482	3.942625908	3.902951123	2.422335633	4.396052188	4.627739206	4.575548363	4.03310342	4.469157835	4.545629734	4.3066475	4.060932264	4.233744494	4.541076573	4.117907095	4.091463187	3.919001922	4.234498433	3.908398293	4.693267218	4.022515721	4.146739462	4.713476218	4.15048658	4.411357421	4.20874702	4.341930524	4.425046946	4.428615861	4.269684642	4.546969881	4.549475995	4.606704729	4.361158729	4.218216379	4.060271429	4.387673217	3.921418984	4.174875197	4.522271005	4.349898309	4.454181991	4.628637466	4.17811886	4.269597619	4.801722557	4.166671803	4.182757633	4.379847818	4.33133603	4.373031553	4.4324334	2.481165417	4.436629964	4.007668842	4.529763546	4.104678126	4.400269088	3.673836752	4.386885808	4.526620458	4.108789742	4.230820291	4.159014614	3.792550679	3.907706817	4.211981724	4.191495291	4.222715586	4.951652092	4.419622583	4.660240346	3.856703478	4.426705527	4.700766165	4.932165951	4.3160654	4.297951491	4.901169211	4.066678371	4.231029045	4.390326497	4.309849228	4.515660709	4.268590868	4.313573881	4.204952958	3.945380062	4.267998449	4.013888632	4.203993921	3.976693859	3.936955521	4.068692189	4.081676763	4.494135688	4.593326648	4.372415496	4.204535457	3.946785526	4.540096771	4.393999914	4.645577733	4.475405063	4.313405288	4.406407588	4.750946437	4.293892358	4.320093601	4.428423611	4.331024949	4.231721909	4.449781296	4.556285855	4.644091559	4.54338275	4.463855582	4.576265872	4.728628572	4.735288339	4.578219309	4.402178777	5.021485466	4.705752407	4.628488227	4.594875808	4.185956049	4.737812769	4.39926229	4.517987133	4.349325687	4.330187073	4.446593006	4.520759435	4.528879159	4.254680272	4.782865267	3.726917043	4.049289853	4.115810754	4.323744136	4.583887364	4.638558671	4.370738305	4.099397738	4.275930774	3.663594774	4.528420144	4.042801954	4.364063941	4.250809359	4.161956353	3.99845573	4.285344773	4.713524674	4.154443029	4.061376249
